path,energi0,homogenitas0,entropy0,contras0,dissimilarity0,ASM0,correlation0,energi45,homogenitas45,entropy45,contras45,dissimilarity45,ASM45,correlation45,energi90,homogenitas90,entropy90,contras90,dissimilarity90,ASM90,correlation90,energi135,homogenitas135,entropy135,contras135,dissimilarity135,ASM135,correlation135,labels
HolsteinFriesiancattle18_c,0.0008142606668437554,0.30693764411921254,12.751454076921547,715816961.0001531,5592321.000001669,0.0008142606668437554,0.9536263313527367,0.0004935765826403453,0.24153532094789482,13.036306968356037,715816960.9999244,5592321.000000593,0.0004935765826403453,0.9487853231369952,0.0006246823338749071,0.2909062264331211,12.495679286548883,715816961.0000212,5592320.999998908,0.0006246823338749071,0.9805053266607681,0.00047020472060268,0.23409127187231782,13.07587147679736,715816960.9999403,5592320.999999467,0.00047020472060268,0.9424087934182944,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle19,0.000987416683329712,0.3157987680456348,12.37159225374059,715816960.9999375,5592321.0000007115,0.000987416683329712,0.9742857473997987,0.000660955257750125,0.24443291724029542,12.762223114617024,715816960.9998767,5592320.99999818,0.000660955257750125,0.9593388796327234,0.0008138636686018586,0.30393426800442325,12.185156548044159,715816960.9999065,5592321.000001188,0.0008138636686018586,0.9842526621152282,0.0006678619558928096,0.2423835772252562,12.728076066191154,715816960.9998719,5592320.999999034,0.0006678619558928096,0.9661646772865646,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle19_c,0.0009754728381344076,0.31274032011916614,12.375428530719292,715816961.0000839,5592320.999999343,0.0009754728381344076,0.9742243567758171,0.0006654731045618789,0.24327257845675515,12.723039252587345,715816961.0000147,5592321.000000346,0.0006654731045618789,0.9660972456713359,0.0008147479482932922,0.3041826243051845,12.173607520089432,715816961.0000848,5592321.000000424,0.0008147479482932922,0.9843047261208343,0.0006574469707379859,0.2438100169067855,12.75442101303614,715816961.0000496,5592321.000000785,0.0006574469707379859,0.95935664922238,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle1_c,0.001007951527358521,0.3400741920949258,12.335839474285551,715816961.0000154,5592320.999999026,0.001007951527358521,0.9766337925243623,0.0006453294699700775,0.25866136214575125,12.86087988874224,715816961.0000902,5592320.999998834,0.0006453294699700775,0.954258276804312,0.000804664246196019,0.3069041844689703,12.44900201932713,715816961.0000867,5592321.000001412,0.000804664246196019,0.9719900763622547,0.0006383107047104862,0.25823067760608187,12.865431495822913,715816961.0001011,5592320.999999569,0.0006383107047104862,0.9525369513670694,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle2,0.039070771193625446,0.40361111250694837,10.33212628537499,715816961.0001061,5592320.999999661,0.039070771193625446,0.9638961470140759,0.03736898447439176,0.3676021134246929,10.500634791826808,715816960.999645,5592320.999998616,0.03736898447439176,0.9576615093014098,0.041231402338842246,0.44450990731322965,9.976744394771242,715816961.0001242,5592321.000001409,0.041231402338842246,0.9855119536198662,0.03742728213017973,0.37146630304674755,10.487372169635979,715816960.9996252,5592320.999998312,0.03742728213017973,0.9527648252768699,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle21,0.00011037971774556588,0.09061567243715728,14.096636230970072,715816960.9999639,5592321.000001609,0.00011037971774556588,0.9090683435935971,9.537837693116019e-05,0.07769456092008058,14.273457445203283,715816960.9999071,5592320.999999066,9.537837693116019e-05,0.8782110215082144,0.00012998429757110383,0.10553343646377177,13.917787875701345,715816960.9999452,5592321.000000426,0.00012998429757110383,0.9319682884993643,9.760252591315957e-05,0.07948422916929652,14.259465381794511,715816960.9999472,5592320.999999951,9.760252591315957e-05,0.8822700220215524,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle21_c,0.00010921225830985648,0.0907400407790121,14.097639615611186,715816961.0000257,5592321.000000181,0.00010921225830985648,0.909420169076778,9.515041250206035e-05,0.07842139328647572,14.262428468815495,715816960.9999543,5592321.000000736,9.515041250206035e-05,0.8823726570614924,0.00012640998222489315,0.10300385292261571,13.926498167318016,715816960.9999368,5592320.999999668,0.00012640998222489315,0.9320905712509221,9.398856525131445e-05,0.0774081396348305,14.278939917351055,715816960.9999522,5592320.999999745,9.398856525131445e-05,0.8782088994654825,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle23,0.0002723881301379536,0.24189583875636836,12.935304732676691,715816960.9998332,5592321.000001498,0.0002723881301379536,0.9680057933314461,0.00019405095093887612,0.1734986834313548,13.267818980543156,715816960.9997962,5592320.999999426,0.00019405095093887612,0.9588662848236106,0.000292100875581421,0.24345835998866258,12.623450880409642,715816960.9998729,5592320.99999955,0.000292100875581421,0.9848251119078519,0.00018912419320722755,0.17106752262130498,13.309855681423235,715816960.9998107,5592321.000000472,0.00018912419320722755,0.9551692112827912,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle23_c,0.0002757556121408905,0.24573532489004177,12.927606792914153,715816960.9998901,5592320.99999936,0.0002757556121408905,0.9678971179821927,0.00019131262015855498,0.17261760734560283,13.302798565344881,715816960.9998572,5592321.000000549,0.00019131262015855498,0.9548955575969179,0.0002920103789315014,0.2438258791695356,12.617917768699698,715816960.9998633,5592321.000000803,0.0002920103789315014,0.9848758363206152,0.00019491169529994162,0.17446947667075263,13.262402538707727,715816960.9998924,5592321.000000226,0.00019491169529994162,0.9589691001931834,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle25,0.0005820198399638125,0.32494341301051693,12.45309975375347,715816961.0001856,5592321.000001558,0.0005820198399638125,0.9633570916757066,0.000402601493057594,0.23807386340867048,12.919811398712755,715816961.0001291,5592320.999999341,0.000402601493057594,0.9511179994248142,0.0006014125021835834,0.2961203068311056,12.440597023637407,715816961.0000854,5592320.999998976,0.0006014125021835834,0.9824003570636953,0.00040922930403824737,0.23816897864457146,12.919602412757841,715816961.0001321,5592321.000001086,0.00040922930403824737,0.9518385666568662,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle25_c,0.0005950463814162138,0.327602895850038,12.438865089694422,715816961.0002044,5592321.000002573,0.0005950463814162138,0.9635154836361168,0.00041865565394757955,0.23936045810817233,12.911516432076699,715816961.0001961,5592321.000000021,0.00041865565394757955,0.9521506663658792,0.0006057901957358416,0.2941265995070442,12.441489050913198,715816961.0001057,5592321.000000783,0.0006057901957358416,0.9825160992468774,0.0004137387807529755,0.2390225638114894,12.913408028349217,715816961.0001922,5592320.999999902,0.0004137387807529755,0.951083057459383,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle26,0.0004184422333330026,0.25305226526116886,12.859947187275042,715816960.9999964,5592321.000001001,0.0004184422333330026,0.9533395231766801,0.00020971401821742914,0.16779042078749423,13.346848717622802,715816960.9999352,5592320.999999265,0.00020971401821742914,0.9321471647675251,0.0002510947083354282,0.19556806686497172,12.999602170852006,715816961.0000124,5592320.999999747,0.0002510947083354282,0.9645305675744272,0.00021897648439224128,0.17474125082204436,13.279452017685006,715816960.9999337,5592321.000000775,0.00021897648439224128,0.9357762694142945,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle26_c,0.0004225475052387359,0.2548773008157203,12.849633152235935,715816961.0000074,5592321.0000004815,0.0004225475052387359,0.9537078102904167,0.00021859659891227664,0.17371810047798972,13.281026426647907,715816960.9999244,5592321.000001408,0.00021859659891227664,0.9363486169295213,0.0002501245585280729,0.1956431096372199,12.99875374085997,715816961.000036,5592320.99999953,0.0002501245585280729,0.9647823992007074,0.00021031213257078726,0.16962601228821358,13.343092917572204,715816960.9999257,5592320.999999648,0.00021031213257078726,0.9327526301224731,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle27,0.0001507609358776956,0.16289991903651688,13.595479712594413,715816961.0002269,5592321.00000123,0.0001507609358776956,0.9478371322388163,0.00012481267830641486,0.13310483008622487,13.790871336476831,715816961.0001832,5592320.999998998,0.00012481267830641486,0.9332407409985265,0.00019129933657500837,0.18734944533574194,13.21661081038483,715816961.0001221,5592321.0000013765,0.00019129933657500837,0.9743051250778496,0.00011793842830141677,0.1274763473258604,13.857050170533995,715816961.0001794,5592321.000000076,0.00011793842830141677,0.9321659735236304,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle27_c,0.00015119058240229685,0.16335285753422046,13.599879136628642,715816961.0002552,5592320.999999561,0.00015119058240229685,0.9477313261370428,0.00011800809245524441,0.1274444440472085,13.858333973357452,715816961.0001515,5592320.999999318,0.00011800809245524441,0.932220951639511,0.0001885592818620406,0.185439385978945,13.222241013685432,715816961.0001196,5592321.000001032,0.0001885592818620406,0.9742693553987791,0.00012417329512986035,0.13222870762831188,13.794448081500008,715816961.000217,5592320.999999512,0.00012417329512986035,0.9331080808265154,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle29,0.0017801187038510877,0.2208180233411029,12.673230648220681,715816961.0001111,5592320.9999991385,0.0017801187038510877,0.9646151575235553,0.001592907736578405,0.187226665409379,12.921785779564395,715816961.0001388,5592321.000001519,0.001592907736578405,0.954351131236749,0.0019905730657348067,0.2712034824473782,12.21943171536831,715816961.000114,5592320.99999939,0.0019905730657348067,0.9861512980255362,0.0015885229446573035,0.19217557567695281,12.881594606121663,715816961.00017,5592321.000000552,0.0015885229446573035,0.95524543195494,data/Holstein_Friesian_cattle/
